source_file,variant_file,transform_family,transform_name,parameter
base\ILSVRC2012_val_00000001.JPEG,brightness_0p85\ILSVRC2012_val_00000001__brightness_0.85.jpg,photometric,brightness,factor=0.85
base\ILSVRC2012_val_00000001.JPEG,brightness_1p15\ILSVRC2012_val_00000001__brightness_1.15.jpg,photometric,brightness,factor=1.15
base\ILSVRC2012_val_00000001.JPEG,contrast_0p85\ILSVRC2012_val_00000001__contrast_0.85.jpg,photometric,contrast,factor=0.85
base\ILSVRC2012_val_00000001.JPEG,contrast_1p15\ILSVRC2012_val_00000001__contrast_1.15.jpg,photometric,contrast,factor=1.15
base\ILSVRC2012_val_00000001.JPEG,colourshift_r_p20\ILSVRC2012_val_00000001__colourshift_r_p20.jpg,photometric,colour_shift,"channel=r,delta=+20"
base\ILSVRC2012_val_00000001.JPEG,colourshift_g_p20\ILSVRC2012_val_00000001__colourshift_g_p20.jpg,photometric,colour_shift,"channel=g,delta=+20"
base\ILSVRC2012_val_00000001.JPEG,colourshift_b_p20\ILSVRC2012_val_00000001__colourshift_b_p20.jpg,photometric,colour_shift,"channel=b,delta=+20"
base\ILSVRC2012_val_00000001.JPEG,jpeg_q90\ILSVRC2012_val_00000001__jpeg_q90.jpg,compression,jpeg_recompress,quality=90
base\ILSVRC2012_val_00000001.JPEG,jpeg_q75\ILSVRC2012_val_00000001__jpeg_q75.jpg,compression,jpeg_recompress,quality=75
base\ILSVRC2012_val_00000001.JPEG,jpeg_q60\ILSVRC2012_val_00000001__jpeg_q60.jpg,compression,jpeg_recompress,quality=60
base\ILSVRC2012_val_00000001.JPEG,resize_0p75\ILSVRC2012_val_00000001__resize_0.75.jpg,geometric,resize,factor=0.75
base\ILSVRC2012_val_00000001.JPEG,resize_0p5\ILSVRC2012_val_00000001__resize_0.50.jpg,geometric,resize,factor=0.50
base\ILSVRC2012_val_00000001.JPEG,crop_center_0p9\ILSVRC2012_val_00000001__crop_center_0.90.jpg,geometric,center_crop,fraction=0.90
base\ILSVRC2012_val_00000001.JPEG,crop_center_0p75\ILSVRC2012_val_00000001__crop_center_0.75.jpg,geometric,center_crop,fraction=0.75
base\ILSVRC2012_val_00000001.JPEG,rotate_p2\ILSVRC2012_val_00000001__rotate_+2.jpg,geometric,rotate,degrees=+2
base\ILSVRC2012_val_00000001.JPEG,rotate_n2\ILSVRC2012_val_00000001__rotate_-2.jpg,geometric,rotate,degrees=-2
base\ILSVRC2012_val_00000001.JPEG,format_png\ILSVRC2012_val_00000001__format_png.png,format,convert_png,format=PNG
